,A,IndicesInteractionProtein,KnownProteins,MaxNumInteractionProtein,N,NumInteractionProtein,ProteinLabel,ProteinLabelPairs
370,0,,1,,,26,['YOR310C'],
371,0,,1,,,18,['YML049C'],
372,0,,1,,,13,['YMR288W'],
373,0,,1,,,27,['YOR063W'],
374,0,,1,,,23,['YJL033W'],
375,0,,-1,,,13,['YDR224C'],
376,0,,-1,,,12,['YBL003C'],
377,0,,1,,,6,['YNL139C'],
378,0,,1,,,7,['YDR347W'],
379,0,,1,,,9,['YOR174W'],
380,0,,1,,,10,['YNL182C'],
381,0,,1,,,6,['YGL025C'],
382,0,,1,,,9,['YLR208W'],
383,0,,-1,,,4,['YJL061W'],
384,0,,-1,,,4,['YER107C'],
385,0,,1,,,22,['YOR078W'],
386,0,,1,,,22,['YPL211W'],
387,0,,1,,,16,['YNL207W'],
388,0,,1,,,19,['YDL060W'],
389,0,,1,,,9,['YLR052W'],
390,0,,1,,,5,['YHR119W'],
391,0,,1,,,6,['YBR087W'],
392,0,,1,,,6,['YNL290W'],
393,0,,1,,,4,['YDR155C'],
394,0,,-1,,,11,['YLR274W'],
395,0,,1,,,8,['YAL029C'],
396,0,,-1,,,6,['YGL167C'],
397,0,,-1,,,5,['YLR335W'],
398,0,,-1,,,8,['YNL189W'],
399,0,,1,,,11,['YPR023C'],
400,0,,1,,,11,['YLR409C'],
401,0,,1,,,10,['YJL069C'],
402,0,,1,,,14,['YGR128C'],
403,0,,1,,,11,['YGL128C'],
404,0,,-1,,,7,['YJL041W'],
405,0,,1,,,10,['YDL030W'],
406,0,,1,,,20,['YNL002C'],
407,0,,1,,,5,['YNL004W'],
408,0,,1,,,6,['YNR023W'],
409,0,,1,,,9,['YML092C'],
410,0,,1,,,8,['YGL190C'],
411,0,,1,,,9,['YAL016W'],
412,0,,1,,,8,['YJL098W'],
413,0,,1,,,8,['YDL047W'],
414,0,,1,,,4,['YGL223C'],
415,0,,1,,,4,['YGR120C'],
416,0,,1,,,4,['YNL041C'],
417,0,,1,,,4,['YGL005C'],
418,0,,-1,,,12,['YLR347C'],
419,0,,1,,,6,['YOL094C'],
420,0,,1,,,4,['YLR384C'],
421,0,,1,,,7,['YPL085W'],
422,0,,1,,,9,['YPR181C'],
423,0,,1,,,6,['YNL151C'],
424,0,,-1,,,18,['YNL284C'],
425,0,,1,,,5,['YGL106W'],
426,0,,1,,,6,['YLR192C'],
427,0,,1,,,4,['YDL156W'],
428,0,,1,,,5,['YBR130C'],
429,1,,1,,,11,['YOR259C'],
430,0,,1,,,8,['YDR462W'],
431,0,,1,,,6,['YGR186W'],
432,0,,1,,,13,['YMR314W'],
433,0,,1,,,7,['YER094C'],
434,0,,1,,,6,['YOR270C'],
435,0,,1,,,5,['YLR447C'],
436,0,,1,,,8,['YDR322W'],
437,0,,-1,,,10,['YER146W'],
438,0,,1,,,19,['YKR001C'],
439,0,,1,,,15,['YPL082C'],
440,0,,1,,,7,['YDL140C'],
441,0,,1,,,5,['YML032C'],
442,0,,1,,,8,['YFR050C'],
443,0,,1,,,6,['YNL097C'],
444,0,,-1,,,8,['YOL086C'],
445,0,,1,,,6,['YNL248C'],
446,0,,1,,,18,['YGR074W'],
447,0,,-1,,,5,['YDR311W'],
448,0,,-1,,,4,['YLR005W'],
449,0,,1,,,33,['YER165W'],
450,0,,-1,,,6,['YML069W'],
451,0,,1,,,4,['YKL080W'],
452,0,,1,,,8,['YHR058C'],
453,0,,-1,,,10,['YFR013W'],
454,0,,1,,,7,['YDR237W'],
